X,Y,ID,Tipo
473221.03,1558975.27,1,Dec-4733-2024
473219.38,1558968.71,2,Dec-4733-2024
473224.6,1558968.71,3,Dec-4733-2024
473225.46,1558971.49,4,Dec-4733-2024
473227.32,1558971.02,5,Dec-4733-2024
473228.97,1558973.21,6,Dec-4733-2024
473221.0319,1558975.279,1,Dec-4496-2024
473222.788,1558983.034,2,Dec-4496-2024
473229.7281,1558980.353,3,Dec-4496-2024
473232.8794,1558978.23,4,Dec-4496-2024
473228.9721,1558973.214,5,Dec-4496-2024
